城市,名字,评分,户型,出租类型,可住几人,价格,图片地址
beijing,“拒绝带宠物”含早餐&亲子手工❥十渡誓言玻璃栈道旁“十渡农家别墅”带小院可娱乐烧,"
                                        5.0
                                    ",6室,整租,宜住19人,￥1288,//pics.muniao.com//UploadFiles/thumb/image/20180601/5f1d54de56e547dd967c2b3bd3aa677d20180601090100333.jpg_414_262.jpg
beijing,北医三院，北大六院，眼科中心，精装大床房,"
                                        4.8
                                    ",3室,单间出租,宜住2人,￥188,//pics.muniao.com//UploadFiles/thumb/image/20160701/20160701170547085.jpg_414_262.jpg
beijing,地铁附近 北医三院 北大六院 眼科中心 精装两居室 免费上网 免费做饭,"
                                        5.0
                                    ",2室,整租,宜住6人,￥598,//pics.muniao.com//UploadFiles/root/room/29560/thumb/aceb72db4c09423b9335057d13106c0b.jpeg_414_262.jpeg
beijing,延庆玉渡山•龙庆峡•清香圆满小院[恒温泳池•五室两厅],"
                                        5.0
                                    ",5室,整租,宜住15人,￥2980,//pics.muniao.com//UploadFiles/root/room/213110/thumb/249f45e4138f4cd28a1de0b9a0e794b5.jpg_414_262.jpg
beijing,北京亚奥核心鸟巢旁商务大床房短租日租月租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥499,//pics.muniao.com//UploadFiles/root/room/75812/thumb/f01a780f9d5b465087b6968176f17e36.jpeg_414_262.jpeg
beijing,近七号线地铁大郊亭站百子湾大成国际公寓,"
                                        5.0
                                    ",1室,整租,宜住2人,￥398,//pics.muniao.com//UploadFiles/root/room/44905/thumb/d11a0965963d465ab3d91a624200dacb.jpeg_414_262.jpeg
beijing,北医三院、北航、电影学院、精装一居室,"
                                        4.8
                                    ",1室,整租,宜住4人,￥528,//pics.muniao.com//UploadFiles/root/room/29212/thumb/8c27e3564d784c959ce3cb4dcc498be3.jpg_414_262.jpg
beijing,大三居室单间出租 厨房可做饭，WiFi免费上网,"
                                        4.7
                                    ",3室,单间出租,宜住2人,￥188,//pics.muniao.com//UploadFiles/thumb/image/20140905/20140905150200034.jpg_414_262.jpg
beijing,近欢乐谷有七号线地铁直达环球影城，百子湾桥边大成国际公寓短租房,"
                                        4.8
                                    ",1室,整租,宜住2人,￥336,//pics.muniao.com//UploadFiles/root/room/34116/thumb/f1574d966cae459c904e6abdf74b8c15.jpeg_414_262.jpeg
beijing,北医三院，生殖中心，北大六院，隔断无窗双人间,"
                                        4.8
                                    ",3室,单间出租,宜住2人,￥188,//pics.muniao.com//UploadFiles/root/room/29563/thumb/d8192a4e13204421b42a488180c9baa8.jpg_414_262.jpg
beijing,近前门大街毗邻天坛公园前门复式精品四室套房,"
                                        5.0
                                    ",4室,整租,宜住8人,￥1700,//pics.muniao.com//UploadFiles/root/thumb/240420/80f1338563134960b78147b2aa462bc8.jpg_414_262.jpg
beijing,安贞医院旁鸟巢水立方对外经贸精品短租房两居,"
                                        5.0
                                    ",2室,整租,宜住4人,￥628,//pics.muniao.com//UploadFiles/root/room/260264/thumb/121c0b07417a4fd7bacfb35ae35530f5.jpeg_414_262.jpeg
beijing,北医三院、电影学院、精装大居室（单间出租）,"
                                        4.8
                                    ",3室,单间出租,宜住2人,￥208,//pics.muniao.com//UploadFiles/root/room/29551/thumb/732d8083d2cd418d93ef5df13ed8ddf1.jpeg_414_262.jpeg
beijing,标准双人间（空调，独卫)近八达岭长城，野生动物园，岔道古城，到八达岭站可免费接。,5.0,1室,整租,宜住2人,￥168,//pics.muniao.com//UploadFiles/root/room/239778/thumb/a2791a9d50be4a6a8c1ab116a5b09463.jpeg_414_262.jpeg
beijing,八达岭长城脚下詹家大院 温馨七居,"
                                        5.0
                                    ",7室,整租,宜住23人,￥2988,//pics.muniao.com//UploadFiles/thumb/image/20190628/7d3b4320b0bf40da861b5245f5b0322220190628194942728.jpg_414_262.jpg
beijing,“拒绝带宠物”含早餐&亲子手工❥十渡誓言玻璃栈道旁“十渡农家小院”带小院可娱乐烧,"
                                        5.0
                                    ",4室,整租,宜住12人,￥888,//pics.muniao.com//UploadFiles/thumb/image/20180615/a004faf338a7444db7b34034dfe81fc020180615192634986.jpg_414_262.jpg
beijing,距离地铁100米  干净整洁,"
                                        5.0
                                    ",1室,整租,宜住2人,￥339,//pics.muniao.com//UploadFiles/thumb/image/20180913/e5a2a74d381340c7bc045974c6a21d5320180913170445793.jpg_414_262.jpg
beijing,榻榻米私密温馨小屋,"
                                        5.0
                                    ",1室,整租,宜住2人,￥380,//pics.muniao.com//UploadFiles/root/room/83685/thumb/e151b84895b24c95bcfe72665b285e2a.jpg_414_262.jpg
beijing,鸟巢北医三院中国音乐学院安贞医院电影学院特惠大床房,"
                                        4.9
                                    ",1室,整租,宜住2人,￥458,//pics.muniao.com//UploadFiles/thumb/image/20190701/464b8e6fcddb443cb37ff0a097a69abb20190701183037143.jpg_414_262.jpg
beijing,古北水镇陈爽短租房阳光家庭房,"
                                        4.9
                                    ",1室,整租,宜住3人,￥150,//pics.muniao.com//UploadFiles/thumb/image/20181015/b55cda2cf2d64169b95696d1ea2ea09d20181015163338060.jpg_414_262.jpg
beijing,北京陈爽短租房精品三人间,"
                                        5.0
                                    ",1室,整租,宜住3人,￥150,//pics.muniao.com//UploadFiles/thumb/image/20181015/7e6c11e79ff349b798ad4ec2b42a697720181015112312882.jpg_414_262.jpg
beijing,古北水镇陈爽短租房精品标准间,"
                                        5.0
                                    ",1室,整租,宜住2人,￥138,//pics.muniao.com//UploadFiles/thumb/image/20181015/305b9cf8cd11463d84a361092e06cf5720181015162858525.jpg_414_262.jpg
beijing,YoYo别墅轰趴团结聚会一站式7房整租,"
                                        5.0
                                    ",7室,整租,宜住28人,￥2980,//pics.muniao.com//UploadFiles/root/room/272874/thumb/ada9075a26a548e49bb88d67bcee2ea3.jpg_414_262.jpg
beijing,喵小白的院子•山景阳光房包院[露天烧烤～欢乐麻将～厨房做饭～宠物友好～独门独院],"
                                        5.0
                                    ",2室,整租,宜住6人,￥1400,//pics.muniao.com//UploadFiles/root/room/170206/thumb/b5e2185a7cdf4eaebcd08dbf0cf566e5.jpg_414_262.jpg
beijing,国贸/大望路/东恒时代中式风格 南向一居室,"
                                        5.0
                                    ",1室,整租,宜住2人,￥358,//pics.muniao.com//UploadFiles/root/room/150751/thumb/a2e7b45e165545df843f8672666cf744.jpeg_414_262.jpeg
beijing,九华山庄、汤泉行宫温泉附近88号别墅轰趴,5.0,6室,整租,宜住25人,￥4380,//pics.muniao.com//UploadFiles/thumb/image/20181031/79adf8158dde4d63a033e93921bc73e320181031121126854.jpg_414_262.jpg
beijing,古北水镇  书文民俗五居室整租,"
                                        5.0
                                    ",5室,整租,宜住12人,￥1099,//pics.muniao.com//UploadFiles/root/room/193624/thumb/b9c78abe358346bfbc80b5173c7fe0c1.jpg_414_262.jpg
beijing,【星空●轻奢乡村美墅】巨幕投影 麻将K歌 棋牌茶道 柴锅烧烤 秋千蹦床 山景露台,"
                                        5.0
                                    ",7室,整租,宜住18人,￥2850,//pics.muniao.com//UploadFiles/root/room/163023/thumb/4da1a8c25af349a7b3b7038069cb1589.jpg_414_262.jpg
beijing,密云近古北水镇转角2號轰趴独栋别墅,"
                                        5.0
                                    ",6室,整租,宜住18人,￥1980,//pics.muniao.com//UploadFiles/root/room/134314/thumb/f2f91ab7de584a2ab10449e7f6218692.jpg_414_262.jpg
beijing,双层大复式!四室三厅，交通便利，吃喝玩乐一应俱全!快来感受美好的聚会与住宿体验吧,"
                                        4.8
                                    ",4室,整租,宜住10人,￥1998,//pics.muniao.com//UploadFiles/root/room/32458/thumb/d4bc60a614164484b0a78eb4f81502c3.jpeg_414_262.jpeg
beijing,CBD国贸市中心南北通透大三居可住9人低密度高端小区双地铁步行5分钟,"
                                        5.0
                                    ",3室,整租,宜住9人,￥1688,//pics.muniao.com//UploadFiles/root/thumb/240319/670fc5a7e51d49c7a1ba6e2428a4d388.jpg_414_262.jpg
beijing,京西古道. 妙𡶶山依山小庐合院别墅二层轰趴,"
                                        5.0
                                    ",4室,整租,宜住12人,￥3280,//pics.muniao.com//UploadFiles/root/room/144220/thumb/f0d2cec557154a20a3532c253608cd94.jpg_414_262.jpg
beijing,近商圈•北欧风•大三居一厅大床房•【朝阳站】,"
                                        5.0
                                    ",3室,整租,宜住6人,￥638,//pics.muniao.com//UploadFiles/root/room/132354/thumb/3c59712f319d4946b8097243cffcda01.jpeg_414_262.jpeg
beijing,【这家儿】免费停车/LOFT/美式复古精装/地铁一号线天安门故宫五棵松301医院,"
                                        5.0
                                    ",3室,整租,宜住7人,￥623,//pics.muniao.com//UploadFiles/root/room/268836/thumb/e6e92e0301c9454b835846f7c8ab513c.jpg_414_262.jpg
beijing,独栋整院 超大露台可烧烤 团建 亲子 轰趴 聚会 多多小院 近红螺寺 圣泉山,5.0,5室,整租,宜住12人,￥1898,//pics.muniao.com//UploadFiles/root/room/215347/thumb/0d44e242aa1948b3a93771ed442b400e.jpg_414_262.jpg
beijing,紧邻中日友好医院/鸟巢法式豪华大三居室,"
                                        5.0
                                    ",3室,整租,宜住5人,￥1298,//pics.muniao.com//UploadFiles/root/room/111859/thumb/c37445c0d43d4b21be969e2386f50772.jpg_414_262.jpg
beijing,【优选】密云希望小镇(金地久)整栋别墅8室/带庭院，户外烧烤，轰趴团建，家庭小聚,"
                                        5.0
                                    ",8室,整租,宜住18人,￥3160,//pics.muniao.com//UploadFiles/root/room/73416/thumb/dac5df0602e84ef783e28584a03a9dfe.jpg_414_262.jpg
beijing,【优选】密云水库小镇(金地久)整栋别墅6室/带庭院，户外烧烤，轰趴团建，家庭小聚,"
                                        5.0
                                    ",6室,整租,宜住13人,￥2380,//pics.muniao.com//UploadFiles/root/room/73410/thumb/8a788398e415490388f2be5a79bb1881.jpg_414_262.jpg
beijing,【融舍】【可住五人一室一厅】蒲黄榆-天坛-天安门-北京站、西站、南站直达,"
                                        5.0
                                    ",1室,整租,宜住4人,￥398,//pics.muniao.com//UploadFiles/root/room/78402/thumb/097af13fc31248dca684c37841fca62a.jpg_414_262.jpg
beijing,鸟巢/中关村/北影/北航北医三院  舒适双床房,"
                                        4.7
                                    ",2室,单间出租,宜住4人,￥198,//pics.muniao.com//UploadFiles/root/room/14071/thumb/1154cb9c8d484ff8905c1bbf7d3db2d4.jpeg_414_262.jpeg
beijing,家庭双人间（空调，公卫)近八达岭长城，野生动物园，岔道古城。到长城站可免费接。,"
                                        5.0
                                    ",1室,整租,宜住2人,￥138,//pics.muniao.com//UploadFiles/root/room/246145/thumb/614a94b97fd44777a121a2cd05ff93a8.jpg_414_262.jpg
beijing,北医三院，北大六院，北影，北航，地铁附近次卧三人间,"
                                        4.9
                                    ",3室,单间出租,宜住3人,￥218,//pics.muniao.com//UploadFiles/root/room/29561/thumb/5f439f66b5294d088f12dc4e24dcd76f.jpg_414_262.jpg
beijing,地铁附近塔院小区南门  大三居室 单间出租,"
                                        4.8
                                    ",3室,单间出租,宜住3人,￥268,//pics.muniao.com//UploadFiles/thumb/image/20140905/20140905150731208.jpg_414_262.jpg
beijing,北医三院，六院，眼科中心，精装大床房,"
                                        4.9
                                    ",3室,单间出租,宜住2人,￥256,//pics.muniao.com//UploadFiles/thumb/image/20140829/20140829140947821.jpg_414_262.jpg
beijing,现代商务-近地铁天坛医院西站南站中戏一居室,"
                                        5.0
                                    ",1室,整租,宜住3人,￥449,//pics.muniao.com//UploadFiles/root/room/276164/thumb/a373270474fb470597d06ccc30e85cc3.jpg_414_262.jpg
beijing,现代时尚-西站南站纪家庙地铁天坛医院中戏首经贸丽泽商圈落地窗独立厨房丽泽商圈,"
                                        4.9
                                    ",1室,整租,宜住2人,￥449,//pics.muniao.com//UploadFiles/root/room/276152/thumb/c54280da1315400fb23a7d17c6f2408e.jpg_414_262.jpg
beijing,古北水镇王广林民俗饭庄―温馨舒适三人间,"
                                        5.0
                                    ",5室,单间出租,宜住3人,￥128,//pics.muniao.com//UploadFiles/root/room/251469/thumb/a25442d2f1e641838c41724e4917a4fa.jpeg_414_262.jpeg
beijing,古北水镇王广林民俗饭庄,"
                                        5.0
                                    ",5室,整租,宜住10人,￥768,//pics.muniao.com//UploadFiles/thumb/image/20181007/73f2e9563be447f7b38534774d0dacce20181007164745938.jpg_414_262.jpg
beijing,古北水镇王广林民俗饭庄―舒适大床房,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥128,//pics.muniao.com//UploadFiles/thumb/image/20181007/23af9147c1ef4838ba09713b2c651e4820181007170251381.jpg_414_262.jpg
beijing,古北水镇王广林民俗饭庄―温馨舒适标间,"
                                        5.0
                                    ",1室,整租,宜住2人,￥138,//pics.muniao.com//UploadFiles/root/room/251466/thumb/28b08bc521114ad6bde5007b427bfb66.jpeg_414_262.jpeg
beijing,古北水镇王广林民俗饭庄―阳光大床房,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥138,//pics.muniao.com//UploadFiles/thumb/image/20181007/ce1acc77c2a046b9a112f0b783f3aa2b20181007170419112.jpg_414_262.jpg
beijing,古北水镇王广林民俗饭庄――温馨舒适家庭房,"
                                        5.0
                                    ",5室,单间出租,宜住2人,￥158,//pics.muniao.com//UploadFiles/root/room/251470/thumb/58c890ca0d364039b3d2fda2aa96b9ed.jpeg_414_262.jpeg
beijing,国贸 世贸天阶 三里屯附近精装白领公寓 配置齐全 ,5.0,1室,整租,宜住2人,￥599,//pics.muniao.com//UploadFiles/root/room/250449/thumb/e268362eb45145f98fbc477556d4bef3.jpg_414_262.jpg
beijing,双人经济间（空调，公卫)近八达岭长城，野生动物园，岔道古城。到长城可免费接。,"
                                        4.9
                                    ",1室,整租,宜住2人,￥128,//pics.muniao.com//UploadFiles/root/room/246139/thumb/d0533d1486504b9cbf203a6a0591c58e.jpg_414_262.jpg
beijing,近慕田峪双人豪华大床房,"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥388,//pics.muniao.com//UploadFiles/root/room/1204886/thumb/ca57d18f7c874ddaa9f7768e6b3f98c4.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|滑雪场|可烧烤|可带宠物|免费停车|独栋别墅|泳池|谧静小院,"
                                        5.0
                                    ",4室,整租,宜住10人,￥3588,//pics.muniao.com//UploadFiles/root/room/1203782/thumb/20e56c10f17f4a04b8287737ab10d2c8.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|单人间,"
                                        5.0
                                    ",1室,整租,宜住1人,￥220,//pics.muniao.com//UploadFiles/root/room/1203778/thumb/f6b259a0ca3c4eed8c3add11059292d1.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|悠然四人间,"
                                        5.0
                                    ",1室,整租,宜住4人,￥520,//pics.muniao.com//UploadFiles/root/room/1203770/thumb/e63f2abf9f6e4c7ab0f7a5eaec87c3f4.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|东篱豪华套房,"
                                        5.0
                                    ",2室,整租,宜住6人,￥900,//pics.muniao.com//UploadFiles/root/room/1203767/thumb/ab1f64a8deb94afa89d53fb8b34e7110.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|漫逸木屋套房,"
                                        5.0
                                    ",2室,整租,宜住4人,￥720,//pics.muniao.com//UploadFiles/root/room/1203760/thumb/ab6eba86ea4e4608b47274e1ca7ea17e.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|隐逸家庭套房,"
                                        5.0
                                    ",2室,整租,宜住4人,￥720,//pics.muniao.com//UploadFiles/root/room/1203758/thumb/7ba065f6e25444b68303c550bb431e42.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|东篱家庭套房,"
                                        5.0
                                    ",2室,整租,宜住4人,￥720,//pics.muniao.com//UploadFiles/root/room/1203753/thumb/61b94629da46444ba40efd70365ce0f5.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|隐逸木屋套房,"
                                        5.0
                                    ",2室,整租,宜住4人,￥720,//pics.muniao.com//UploadFiles/root/room/1203740/thumb/79061277145848b6befbaa5ba47be531.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|独立小院|东篱庭院套房,"
                                        5.0
                                    ",2室,整租,宜住4人,￥720,//pics.muniao.com//UploadFiles/root/room/1203731/thumb/b3324838a5224ebcb381167745643cd9.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|悠然三人行,"
                                        5.0
                                    ",1室,整租,宜住3人,￥360,//pics.muniao.com//UploadFiles/root/room/1203711/thumb/faa7294e30b6469899b6874736c1b317.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|悠然家庭房,"
                                        5.0
                                    ",1室,整租,宜住3人,￥420,//pics.muniao.com//UploadFiles/root/room/1203684/thumb/88efc38f55234d1bb0dba641bd92cecf.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|近滑雪场|可烧烤|可带宠物|免费停车|儿童滑梯|陋室铭大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥280,//pics.muniao.com//UploadFiles/root/room/1203672/thumb/448a5824a05f4e1c8765ef856639bdff.jpg_414_262.jpg
beijing,四季星空 琳阁,"
                                        5.0
                                    ",1室,整租,宜住2人,￥500,//pics.muniao.com//UploadFiles/root/room/1203538/thumb/ce64d9f796ac4ba787792ceae71bdecd.jpg_414_262.jpg
beijing,四季星空 平阁,"
                                        5.0
                                    ",1室,整租,宜住2人,￥500,//pics.muniao.com//UploadFiles/root/room/1203491/thumb/1f5b59185b354b6cb29b8daaea8e6fb6.jpg_414_262.jpg
beijing,北京浅山下整院—南山滑雪+舞彩浅山红叶+油菜花田,"
                                        5.0
                                    ",4室,整租,宜住8人,￥4280,//pics.muniao.com//UploadFiles/root/room/1203473/thumb/83e2780c06254122a41cdfc4b24a8068.jpeg_414_262.jpeg
beijing,【小金.橙思】距离北京南站10分钟｜双床房｜巨幕高清投影房｜独立厨房卫生间｜物品齐全｜近颐和园&北京,"
                                        5.0
                                    ",1室,整租,宜住4人,￥630,//pics.muniao.com//UploadFiles/root/thumb/240611/cfd1a30d7d344e67ae64bfe509ec4709.jpg_414_262.jpg
beijing,【小金.纱幔】双床可4人住｜巨幕高清投影｜南向秋千纱幔房｜公益西桥地铁口｜近北京南站&*王府井2-6,"
                                        5.0
                                    ",1室,整租,宜住4人,￥630,//pics.muniao.com//UploadFiles/root/thumb/240611/7125ba2f5bb946c7bf892e2d3ae8a65f.jpg_414_262.jpg
beijing,【小金.伊米】巨幕高清投影|近地铁公益西桥站C口|沙发床|冰箱洗衣机大衣柜|直达颐和园&北京大学&清,"
                                        5.0
                                    ",1室,整租,宜住4人,￥550,//pics.muniao.com//UploadFiles/root/thumb/240611/a9ad5c85269e4abb913d297632962e00.jpg_414_262.jpg
beijing,山景泳池 /亲子乐园/怀柔慕田峪长城脚下/超大庭院/萌宠乐园/鱼师傅/树屋/树下品茶/网红咖啡打卡/,"
                                        5.0
                                    ",4室,整租,宜住10人,￥2300,//pics.muniao.com//UploadFiles/root/thumb/240611/b2a231e3a8834be68edb49d3580ad413.jpg_414_262.jpg
beijing,宿语私汤4居丨河边露营、垂钓捞鱼丨棋牌麻将KTV丨山景露台烧烤丨越野车、萤火虫,"
                                        5.0
                                    ",4室,整租,宜住12人,￥5500,//pics.muniao.com//UploadFiles/root/room/1203050/thumb/cff520b14e1643f6a414b059aa7fb638.jpg_414_262.jpg
beijing,林姐家庭民宿,"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥149,//pics.muniao.com//UploadFiles/root/thumb/240611/2bf901016758448b8f24819994ee7875.jpg_414_262.jpg
beijing,『有颗糖』云栖 可长租 立水桥地铁 近鸟巢水立方奥森望京 投影房 可洗衣做饭 阳光落地,"
                                        5.0
                                    ",1室,整租,宜住2人,￥299,//pics.muniao.com//UploadFiles/root/thumb/240611/a9c566ec6ce04547b79a2384d03b17c8.jpg_414_262.jpg
beijing,『有颗糖』竹猗 近立水桥地铁 近鸟巢水立方中国科技馆奥森望京 投影房 可洗衣做饭客厅两张沙发床,"
                                        5.0
                                    ",1室,整租,宜住4人,￥419,//pics.muniao.com//UploadFiles/root/thumb/240611/044ccb3d9c2e456e918aac11d43dd458.jpg_414_262.jpg
beijing,『有颗糖』桃夭 近立水桥地铁 近鸟巢水立方中国科技馆奥森望京 投影房 可洗衣做饭 落地窗,"
                                        5.0
                                    ",1室,整租,宜住2人,￥419,//pics.muniao.com//UploadFiles/root/thumb/240611/3e1b1c68efa648a4bd6e920342ad003a.jpg_414_262.jpg
beijing,『有颗糖』荷塘 可长租 立水桥地铁 近鸟巢水立方奥森望京 投影房 可洗衣做饭 阳光落地,"
                                        5.0
                                    ",1室,整租,宜住2人,￥306,//pics.muniao.com//UploadFiles/root/thumb/240611/3f4b04db1eec4ee49f3b0a8a900ddd0d.jpg_414_262.jpg
beijing,龙庆峡映景|看冰灯|滑雪场|超美夜景|可带宠物|免费停车|儿童滑梯|陋室铭双床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥320,//pics.muniao.com//UploadFiles/root/room/1202217/thumb/779ab9cb10c34c09b973509c8ce32706.jpg_414_262.jpg
beijing,似水流年：天安门/王府井/天坛/北京南站/西站直达/紧邻双地铁5/14号线7人房,"
                                        5.0
                                    ",3室,整租,宜住7人,￥1000,//pics.muniao.com//UploadFiles/root/room/1201624/thumb/e4bfb0653afc40978b2ea3cf20033243.jpeg_414_262.jpeg
beijing,标间1(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥170,//pics.muniao.com//UploadFiles/root/thumb/240607/b63f438458184dfba4f4b2cd5a478b8a.png_414_262.png
beijing,舒适四人间1(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住4人,￥198,//pics.muniao.com//UploadFiles/root/room/1201384/thumb/0c8867929df54d2799a4090ff59192c7.png_414_262.png
beijing,舒适一人间4【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住1人,￥110,//pics.muniao.com//UploadFiles/root/thumb/240607/4caac0fced4c41cc89e6629c304ac115.png_414_262.png
beijing,舒适一人间【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住1人,￥110,//pics.muniao.com//UploadFiles/root/thumb/240607/e343b01938a84538a129b410636c3253.jpg_414_262.jpg
beijing,舒适三人间5(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住3人,￥180,//pics.muniao.com//UploadFiles/root/room/1201379/thumb/61ed69447b364a858c2008e843e6cfb4.jpg_414_262.jpg
beijing,舒适三人间3(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住3人,￥180,//pics.muniao.com//UploadFiles/root/thumb/240607/2cc9c60ecccb42b5bebceef171dede4e.png_414_262.png
beijing,舒适一人间2【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住1人,￥120,//pics.muniao.com//UploadFiles/root/thumb/240607/21606f12aa43404e8917a8b3f5bd3769.png_414_262.png
beijing,舒适三人间2(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住3人,￥180,//pics.muniao.com//UploadFiles/root/thumb/240607/10f7e13231dc409aa97b149a1d82b783.png_414_262.png
